Time 		**		Future Events List		**		Delayed Events List
TIME:: 0.0 FUTURE:: |ID 0 ARR : 6.090479038759717| DELAYED:: 
TIME:: 6.090479038759717 FUTURE:: |ID 1 ARR : 39.39238029623634| DELAYED:: 
TIME:: 39.39238029623634 FUTURE:: |ID 2 ARR : 41.799521381451015| DELAYED:: 
TIME:: 41.799521381451015 FUTURE:: |ID 3 ARR : 53.48079282830728| DELAYED:: 
TIME:: 53.48079282830728 FUTURE:: |ID 4 ARR : 53.815045685920005| DELAYED:: 
TIME:: 53.815045685920005 FUTURE:: |ID 5 ARR : 58.656716264364405| DELAYED:: 
TIME:: 58.656716264364405 FUTURE:: |ID 6 ARR : 64.2927750376983| DELAYED:: 
TIME:: 64.2927750376983 FUTURE:: |ID 7 ARR : 70.12160735093819| DELAYED:: 
TIME:: 70.12160735093819 FUTURE:: |ID 8 ARR : 70.95099849801205| DELAYED:: 
TIME:: 70.95099849801205 FUTURE:: |ID 9 ARR : 96.05847232295744| DELAYED:: 
TIME:: 96.05847232295744 FUTURE:: |ID 10 ARR : 99.00384080853901| DELAYED:: 
TIME:: 99.00384080853901 FUTURE:: |ID 11 ARR : 102.11631035734786| DELAYED:: 
TIME:: 102.11631035734786 FUTURE:: |ID 12 ARR : 118.46697665303404| DELAYED:: 
TIME:: 118.46697665303404 FUTURE:: |ID 13 ARR : 120.56861565709676| DELAYED:: 
TIME:: 120.56861565709676 FUTURE:: |ID 14 ARR : 143.27661924670673| DELAYED:: 
TIME:: 143.27661924670673 FUTURE:: |ID 15 ARR : 148.8055366998901| DELAYED:: 
TIME:: 148.8055366998901 FUTURE:: |ID 16 ARR : 186.97350125107437| DELAYED:: 
TIME:: 186.97350125107437 FUTURE:: |ID 17 ARR : 192.95197160473168| DELAYED:: 
TIME:: 192.95197160473168 FUTURE:: |ID 18 ARR : 213.65029118181974| DELAYED:: 
TIME:: 213.65029118181974 FUTURE:: |ID 19 ARR : 219.275330173666| DELAYED:: 
TIME:: 219.275330173666 FUTURE:: |ID 20 ARR : 224.9425158673542| DELAYED:: 
TIME:: 224.9425158673542 FUTURE:: |ID 21 ARR : 231.45809422729764| DELAYED:: 
TIME:: 231.45809422729764 FUTURE:: |ID 22 ARR : 248.04084520031535| DELAYED:: 
TIME:: 248.04084520031535 FUTURE:: |ID 23 ARR : 258.62795683982057| DELAYED:: 
TIME:: 258.62795683982057 FUTURE:: |ID 24 ARR : 262.0340444237503| DELAYED:: 
TIME:: 262.0340444237503 FUTURE:: |ID 25 ARR : 278.0934439649107| DELAYED:: 
TIME:: 278.0934439649107 FUTURE:: |ID 26 ARR : 284.46494315425144| DELAYED:: 
TIME:: 284.46494315425144 FUTURE:: |ID 27 ARR : 296.43381456790985| DELAYED:: 
TIME:: 296.43381456790985 FUTURE:: |ID 28 ARR : 322.20326922392553| DELAYED:: 
TIME:: 322.20326922392553 FUTURE:: |ID 29 ARR : 323.9352395778775| DELAYED:: 
